WORD	DIFF	FREQ
demi 	9.52181420587e-05 	3
desseins 	9.52181420587e-05 	3
devaient 	9.52181420587e-05 	3
discordes 	9.52181420587e-05 	3
divisions 	9.52181420587e-05 	3
fondu 	9.52181420587e-05 	3
frappe 	9.52181420587e-05 	3
fête 	9.52181420587e-05 	3
gagnait 	9.52181420587e-05 	3
impossible 	9.52181420587e-05 	3
lamentable 	9.52181420587e-05 	3
lecteurs 	9.52181420587e-05 	3
longue 	9.52181420587e-05 	3
ls 	9.52181420587e-05 	3
mettant 	9.52181420587e-05 	3
naïveté 	9.52181420587e-05 	3
noble 	9.52181420587e-05 	3
note 	9.52181420587e-05 	3
occasion 	9.52181420587e-05 	3
patriotisme 	9.52181420587e-05 	3
pensé 	9.52181420587e-05 	3
placé 	9.52181420587e-05 	3
placée 	9.52181420587e-05 	3
poussé 	9.52181420587e-05 	3
principaux 	9.52181420587e-05 	3
prises 	9.52181420587e-05 	3
profiter 	9.52181420587e-05 	3
proportions 	9.52181420587e-05 	3
propos 	9.52181420587e-05 	3
prétend 	9.52181420587e-05 	3
publié 	9.52181420587e-05 	3
quêtes 	9.52181420587e-05 	3
regards 	9.52181420587e-05 	3
reçues 	9.52181420587e-05 	3
richesses 	9.52181420587e-05 	3
saint 	9.52181420587e-05 	3
scène 	9.52181420587e-05 	3
trouble 	9.52181420587e-05 	3
trouvera 	9.52181420587e-05 	3
trouverait 	9.52181420587e-05 	3
visite 	9.52181420587e-05 	3
vite 	9.52181420587e-05 	3
votés 	9.52181420587e-05 	3
émue 	9.52181420587e-05 	3
étrange 	9.52181420587e-05 	3
trop 	8.1967322548e-05 	34
prendre 	7.85007173276e-05 	28
hier 	7.50341121072e-05 	22
chiffre 	7.3300809497e-05 	19
mesures 	7.3300809497e-05 	19
doute 	7.15675068867e-05 	16
justice 	7.15675068867e-05 	16
presbytère 	7.15675068867e-05 	16
faite 	6.98342042765e-05 	13
oui 	6.98342042765e-05 	13
politique 	6.98342042765e-05 	13
seulement 	6.98342042765e-05 	13
bon 	6.81009016663e-05 	10
douloureuse 	6.81009016663e-05 	10
moyen 	6.81009016663e-05 	10
nouvelles 	6.81009016663e-05 	10
premières 	6.81009016663e-05 	10
rendre 	6.81009016663e-05 	10
bateaux 	6.63675990561e-05 	7
bout 	6.63675990561e-05 	7
commune 	6.63675990561e-05 	7
compris 	6.63675990561e-05 	7
couvert 	6.63675990561e-05 	7
douloureux 	6.63675990561e-05 	7
mardi 	6.63675990561e-05 	7
pareille 	6.63675990561e-05 	7
permis 	6.63675990561e-05 	7
rend 	6.63675990561e-05 	7
riou 	6.63675990561e-05 	7
troupe 	6.63675990561e-05 	7
vent 	6.63675990561e-05 	7
accorder 	6.46342964459e-05 	4
ajouté 	6.46342964459e-05 	4
atteint 	6.46342964459e-05 	4
atterré 	6.46342964459e-05 	4
audemar 	6.46342964459e-05 	4
banque 	6.46342964459e-05 	4
besoins 	6.46342964459e-05 	4
brisés 	6.46342964459e-05 	4
cablez 	6.46342964459e-05 	4
calcinés 	6.46342964459e-05 	4
chargés 	6.46342964459e-05 	4
civil 	6.46342964459e-05 	4
conditionnelle 	6.46342964459e-05 	4
constamment 	6.46342964459e-05 	4
