SOURCE	TARGET	WEIGHT
faire	connaître	2.7569432496e-05
demandé	à	2.74922071949e-05
été	mis	2.74922071949e-05
bourse	droit	2.74149818938e-05
cotons	à	2.72605312915e-05
huiles	kilos	2.72605312915e-05
léon	say	2.72605312915e-05
paris	prix	2.71833059904e-05
société	civile	2.71833059904e-05
rouble	russe	2.70288553882e-05
communiqués	bureaux	2.69516300871e-05
jules	roche	2.67971794849e-05
lettre	suivante	2.67971794849e-05
mois	etain	2.67971794849e-05
à	mars	2.67971794849e-05
été	gagné	2.67199541838e-05
à	cheval	2.66427288827e-05
prendre	part	2.65655035816e-05
façon	à	2.64110529793e-05
jouissance	itme	2.64110529793e-05
affaires	militaires	2.6179377076e-05
ventes	futurs	2.6179377076e-05
ancien	député	2.60249264738e-05
peut	dire	2.60249264738e-05
destinés	à	2.59477011727e-05
numéro	à	2.59477011727e-05
unifiée	hongrois	2.59477011727e-05
circulation	farines	2.57932505705e-05
compte	rendu	2.57160252694e-05
net	escompte	2.56387999682e-05
lin	à	2.5484349366e-05
été	nommé	2.5484349366e-05
cru	devoir	2.54071240649e-05
lt	amp	2.54071240649e-05
circulation	sucres	2.52526734627e-05
été	arrêté	2.52526734627e-05
à	lt	2.51754481616e-05
mort	à	2.50982228605e-05
fût	compris	2.50209975594e-05
départements	annonces	2.48665469572e-05
kilos	fût	2.48665469572e-05
à	pied	2.4789321656e-05
à	vapeur	2.47120963549e-05
à	établir	2.47120963549e-05
été	condamné	2.47120963549e-05
mai	juillet	2.45576457527e-05
escompte	lin	2.44804204516e-05
marché	consolidés	2.44804204516e-05
pourra	être	2.44804204516e-05
surtout	à	2.44804204516e-05
tour	à	2.44031951505e-05
à	dunkerque	2.42487445483e-05
adjr	sr	2.40942939461e-05
bulletin	commercial	2.40942939461e-05
extérieure	rio	2.40942939461e-05
premier	ministre	2.40942939461e-05
à	stock	2.40942939461e-05
mer	belle	2.4017068645e-05
place	à	2.4017068645e-05
à	bruxelles	2.4017068645e-05
à	part	2.4017068645e-05
à	payer	2.4017068645e-05
à	tion	2.4017068645e-05
à	venir	2.4017068645e-05
central	météorologique	2.38626180427e-05
messageries	maritimes	2.38626180427e-05
fixé	à	2.37853927416e-05
à	droite	2.37853927416e-05
papier	court	2.37081674405e-05
procédé	à	2.37081674405e-05
destinée	à	2.36309421394e-05
gérant	imprimerie	2.36309421394e-05
mit	à	2.36309421394e-05
haut	bas	2.35537168383e-05
houleuse	à	2.35537168383e-05
dû	être	2.34764915372e-05
marché	calme	2.34764915372e-05
dernière	heure	2.33992662361e-05
dépêches	particulières	2.33992662361e-05
relatives	à	2.3322040935e-05
tenir	compte	2.3322040935e-05
marché	italien	2.32448156339e-05
à	amsterdam	2.32448156339e-05
dire	à	2.31675903328e-05
ouvert	à	2.31675903328e-05
droit	réservé	2.30903650316e-05
mises	à	2.30903650316e-05
