SOURCE	TARGET	WEIGHT	WEIGHT*100000
unifiée	hongrois	2.59E-05	2.594770117
circulation	farines	2.58E-05	2.579325057
compte	rendu	2.57E-05	2.571602527
net	escompte	2.56E-05	2.563879997
lin	à	2.55E-05	2.548434937
été	nommé	2.55E-05	2.548434937
cru	devoir	2.54E-05	2.540712406
lt	amp	2.54E-05	2.540712406
circulation	sucres	2.53E-05	2.525267346
été	arrêté	2.53E-05	2.525267346
à	lt	2.52E-05	2.517544816
mort	à	2.51E-05	2.509822286
fût	compris	2.50E-05	2.502099756
départements	annonces	2.49E-05	2.486654696
kilos	fût	2.49E-05	2.486654696
à	pied	2.48E-05	2.478932166
à	vapeur	2.47E-05	2.471209635
à	établir	2.47E-05	2.471209635
été	condamné	2.47E-05	2.471209635
mai	juillet	2.46E-05	2.455764575
escompte	lin	2.45E-05	2.448042045
marché	consolidés	2.45E-05	2.448042045
pourra	être	2.45E-05	2.448042045
surtout	à	2.45E-05	2.448042045
tour	à	2.44E-05	2.440319515
à	dunkerque	2.42E-05	2.424874455
adjr	sr	2.41E-05	2.409429395
bulletin	commercial	2.41E-05	2.409429395
extérieure	rio	2.41E-05	2.409429395
premier	ministre	2.41E-05	2.409429395
à	stock	2.41E-05	2.409429395
mer	belle	2.40E-05	2.401706865
place	à	2.40E-05	2.401706865
à	bruxelles	2.40E-05	2.401706865
à	part	2.40E-05	2.401706865
à	payer	2.40E-05	2.401706865
à	tion	2.40E-05	2.401706865
à	venir	2.40E-05	2.401706865
central	météorologique	2.39E-05	2.386261804
messageries	maritimes	2.39E-05	2.386261804
fixé	à	2.38E-05	2.378539274
à	droite	2.38E-05	2.378539274
papier	court	2.37E-05	2.370816744
procédé	à	2.37E-05	2.370816744
destinée	à	2.36E-05	2.363094214
gérant	imprimerie	2.36E-05	2.363094214
mit	à	2.36E-05	2.363094214
haut	bas	2.36E-05	2.355371684
houleuse	à	2.36E-05	2.355371684
dû	être	2.35E-05	2.347649154
marché	calme	2.35E-05	2.347649154
dernière	heure	2.34E-05	2.339926624
dépêches	particulières	2.34E-05	2.339926624
relatives	à	2.33E-05	2.332204094
tenir	compte	2.33E-05	2.332204094
